,IDX30 Index,,,,,LQ45 Index,,,,,KOA Comdty,,,,,XWA Comdty,,,,,LMNIDY Comdty,,,,,COA Comdty,,,,,LOSNDY Comdty,,,,,HGA Comdty,,,,,USDIDR Curncy,,,,,XAUIDR Curncy,,,,,RR1 Comdty,,,,
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW
11/25/2016,465.156,458.903,3467480200,469.979,455.934,862.699,853.843,14098564000,873.219,848.728,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,11150,11513.5,27598,11570,11150,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21000,21275,#N/A N/A,21610,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13450,13515,#N/A N/A,13578,13400,16172741.93,16015811.91,#N/A N/A,16440971.96,160796.0192,9.635,9.625,1193,9.9,9.515
12/2/2016,457.256,473.06,5938609000,473.581,455.768,851.15,880.567,16921298000,881.474,848.082,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,11680,11404.75,33138,11702,10960,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21350,21355,#N/A N/A,21400,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13460,13520,#N/A N/A,13593,13458,16008321.91,15867991.89,#N/A N/A,16211811.93,158448.4251,9.67,9.625,2262,9.75,9.46
12/9/2016,472.034,478.647,3438187200,478.647,469.273,879.04,890.313,10642222000,890.313,874.318,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,11700,11422,30921,11700,11324,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21500,21300,#N/A N/A,21500,21300,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13525,13328,#N/A N/A,13525,13275,15867251.89,15482651.85,#N/A N/A,16030711.91,155851.8155,9.655,9.92,3454,10,9.655
12/16/2016,476.79,469.406,2950145100,479.204,468.2,887.303,873.679,9786689000,891.068,870.74,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,11310,11119.5,33713,11410,11120,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21100,21350,#N/A N/A,21550,21100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13315,13393,#N/A N/A,13433,13275,15470241.84,15227361.82,#N/A N/A,15525471.85,151743.1118,9.935,9.48,5504,9.97,9.375
12/23/2016,468.158,445.967,3143736100,470.355,445.846,871.766,828.746,10394762000,875.341,828.496,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10850,10353.75,89023,10980,10565,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21225,21250,#N/A N/A,21250,21060,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13390,13452,#N/A N/A,13490,13370,15192611.81,15195371.81,#N/A N/A,15305341.82,152179.9244,9.52,9.21,4489,9.615,9.15
12/30/2016,445.937,476.815,2395262100,482.366,445.898,828.911,884.619,9198065000,894.853,828.871,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10140,9964,28315,10140,10000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21100,21100,#N/A N/A,21150,21100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13443,13473,#N/A N/A,13485,13422,15254461.82,15546371.85,#N/A N/A,15675571.87,153344.7214,9.24,9.355,3320,9.425,9.145
1/6/2017,475.87,485.627,2253701900,486.805,471.452,883.018,900.098,8507926000,902.26,874.842,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10200,10191.25,33113,10230,9853.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21300,21175,#N/A N/A,21300,21175,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13485,13365,#N/A N/A,13488,13315,15493931.85,15666401.87,#N/A N/A,15795581.88,155229.3154,9.44,9.44,137,9.505,9.405
1/13/2017,485.988,475.811,2307029600,486.611,475.811,901.074,882.52,11433360000,902.149,882.52,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10230,10399.5,28421,10450,9961.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21150,21175,#N/A N/A,21280,21105,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13393,13330,#N/A N/A,13396,13265,15672621.87,15957751.9,#N/A N/A,16017731.91,157446.425,9.565,9.65,95,9.565,9.45
1/20/2017,477.313,472.556,2733875700,479.015,471.178,885.214,875.509,12223408000,887.928,873.066,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10232.5,9648.5,70964,10235,9731.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21125,20200,#N/A N/A,21125,20200,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13325,13410,#N/A N/A,13410,13315,15951361.9,16236241.94,#N/A N/A,16299181.94,160677.4254,9.9,9.82,2292,10.1,9.785
1/27/2017,471.955,479.963,2551653500,482.654,469.231,874.578,886.624,12626608000,891.691,869.77,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9770,9420.5,44058,9770,9353.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19875,19975,#N/A N/A,20450,19875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13385,13359,#N/A N/A,13390,13303,16221711.93,15933641.9,#N/A N/A,16302471.94,157883.5188,9.865,9.81,1831,9.985,9.66
2/3/2017,481.138,482.741,2994081300,482.741,474.243,888.83,893.303,16120712000,893.303,877.354,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9495,10171,26287,10360,9491.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19700,19795,#N/A N/A,20080,19700,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13340,13345,#N/A N/A,13387,13330,15946951.9,16260501.94,#N/A N/A,16343181.95,158823.9252,9.8,9.545,2800,9.84,9.47
2/10/2017,484.013,483.135,5497687600,486.797,481.18,895.497,893.894,20090391000,900.128,889.837,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10339,10614.75,33033,10500,10334,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19055,19210,#N/A N/A,19250,18760,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13330,13316,#N/A N/A,13350,13290,16258561.94,16422921.96,#N/A N/A,16571731.98,162961.5194,9.5,9.565,3754,9.645,9.34
2/17/2017,486.627,479.876,5076921700,488.557,479.002,900.135,887.4,18202070000,903.385,885.871,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10642,10993.75,50453,10900,10642,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19660,19755,#N/A N/A,19955,19660,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13335,13333,#N/A N/A,13338,13316,16429771.96,16481141.96,#N/A N/A,16616361.98,163755.9258,9.54,9.335,4698,9.54,9.3
2/24/2017,480.829,484.844,3710116500,486.04,479.349,889.31,895.86,22462525000,897.814,885.613,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,11042.5,10808.5,36896,11045,10631.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19735,19250,#N/A N/A,19900,19150,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13360,13331,#N/A N/A,13379,13308,16482881.96,16766802,#N/A N/A,16797102,164855.5197,9.365,9.425,7425,9.51,9.27
3/3/2017,485.172,485.311,8097985100,490.098,480.806,896.339,894.124,22425885000,903.275,886.799,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10896,10936,27280,11000,10866.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19310,19425,#N/A N/A,19425,19200,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13335,13383,#N/A N/A,13385,13331,16758442,16476541.96,#N/A N/A,16872752.01,164172.5196,9.44,9.325,1847,9.45,9.295
3/10/2017,486.057,485.855,9251771000,489.896,483.19,895.839,893.361,22058170000,901.847,888.716,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10895,9840,28945,11038.75,10024,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19215,19300,#N/A N/A,19430,19215,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13370,13379,#N/A N/A,13398,13330,16471731.96,16093451.92,#N/A N/A,16552411.97,160156.7222,9.355,9.465,57,9.465,9.355
3/17/2017,485.585,501.643,6622408400,504.613,484.569,892.991,922.896,20359734000,927.587,891.115,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10100,10202.5,87121,10290,10085,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19305,20450,#N/A N/A,20450,19305,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13363,13345,#N/A N/A,13379,13308,16090921.92,16411021.96,#N/A N/A,16437971.96,160863.1129,9.58,9.915,1441,9.945,9.55
3/24/2017,503.357,503.917,7075951500,505.631,495.074,925.898,926.334,21454553000,930.006,910.297,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10045,9807.5,33837,10105,9899,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20530,20100,#N/A N/A,20575,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13340,13327,#N/A N/A,13350,13298,16409151.96,16552101.97,#N/A N/A,16693671.99,163988.9258,9.915,9.78,2084,9.935,9.73
3/31/2017,502.687,500.888,8600299600,507.355,499.413,924.023,921.526,18866593000,931.765,917.558,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9705,9962.5,38484,9940,9705,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19550,20100,#N/A N/A,20100,19550,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13300,13326,#N/A N/A,13335,13300,16572411.98,16646921.98,#N/A N/A,16778392,165638.0197,9.795,9.895,2860,9.98,9.7
4/7/2017,502.932,510.172,5743998800,514.432,502.488,925.352,937.238,21110514000,945.1,924.698,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9960,10123,30752,10320,9860,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20225,20375,#N/A N/A,20375,20035,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13323,13322,#N/A N/A,13348,13313,16650911.98,16710531.99,#N/A N/A,16941682.02,166012.3167,9.89,10.23,4556,10.26,9.88
4/14/2017,511.325,503.849,2927016500,512.709,503.599,939.544,926.281,13541647000,941.888,925.897,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10100,9695.25,68039,10100,9680,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20400,19750,#N/A N/A,20400,19750,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13330,13256,#N/A N/A,13330,13250,16705201.99,17080392.04,#N/A N/A,17174762.05,166588.1136,10.215,10.17,3104,10.29,10.03
4/21/2017,504.917,511.215,3230296400,511.215,498.458,928.309,938.177,15038927000,938.177,916.852,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9540,9295,30819,9544,9286.25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19885,19900,#N/A N/A,19905,19875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13270,13322,#N/A N/A,13338,13254,17100392.04,17100462.04,#N/A N/A,17193342.05,170364.8172,10.21,9.77,5149,10.24,9.74
4/28/2017,514.843,512.004,3272228200,518.143,509.307,944.814,940.76,13513256000,950.753,935.537,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9267.5,9404,28115,9490,9179,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19600,19850,#N/A N/A,19925,19525,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13311,13329,#N/A N/A,13339,13275,17109782.04,16911312.02,#N/A N/A,17109782.04,168090.52,9.8,9.13,5426,9.83,9.13
5/5/2017,514.581,516.658,4941714600,518.167,510.803,945.424,945.967,13403598000,948.566,936.55,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9490,9107.5,24099,9490,8930,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20100,19930,#N/A N/A,20100,19850,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13330,13330,#N/A N/A,13348,13290,16910782.02,16386191.95,#N/A N/A,16944032.02,164395.6133,9.25,9.62,116,9.6,9.25
5/12/2017,518.753,518.006,4506891000,523.391,512.678,949.967,946.726,11912352000,958.247,937.606,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9038,9276,14081,9370,9033,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19850,19910,#N/A N/A,20100,19840,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13333,13330,#N/A N/A,13366,13305,16377991.95,16371571.95,#N/A N/A,16458821.96,163388.9257,9.69,10.23,104,10.305,9.69
5/19/2017,519.887,530.463,4395105300,536.773,505.313,950.392,970.396,14528306000,981.06,925.743,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9305,9325,7891,9311,9000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20100,20550,#N/A N/A,20650,19905,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13320,13335,#N/A N/A,13420,13285,16380311.95,16753172,#N/A N/A,16994102.03,163663.2226,10.41,10.83,4076,10.985,10.41
5/26/2017,536.747,521.415,3884104600,540.8,515.784,981.783,954.483,11629924000,989.03,945.136,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9365,9040,21324,9371,9000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20805,20500,#N/A N/A,20805,20500,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13295,13295,#N/A N/A,13323,13286,16749042,16823772.01,#N/A N/A,16901912.01,166590.9261,10.845,10.975,2566,11.11,10.795
6/2/2017,523.042,525.222,5058045900,525.222,518.698,957.498,961.412,11523917000,961.436,949.509,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9020,8874.25,19660,9064,8710,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20575,20405,#N/A N/A,20575,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13308,13304,#N/A N/A,13342,13297,16826362.01,17027882.03,#N/A N/A,17027882.03,167776.1138,10.96,11.12,3502,11.265,10.85
6/9/2017,525.889,518.857,3476582900,528.296,518.11,962.781,950.484,10172357000,966.683,949.143,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,8815,8924,30321,8870,8757.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20245,19150,#N/A N/A,20245,19150,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13290,13292,#N/A N/A,13342,13279,17036542.03,16842622.01,#N/A N/A,17267532.06,169266.6139,11.145,11.32,2362,11.335,11.03
6/16/2017,517.729,524.784,3703773600,531.926,517.729,948.774,960.672,8230311700,974.178,948.774,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,8935,8882.75,28617,8940,8715,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19175,19650,#N/A N/A,19650,19175,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13293,13299,#N/A N/A,13306,13269,16849452.01,16650981.99,#N/A N/A,16978912.02,166855.6136,11.26,11.4,3582,11.49,10.86
6/23/2017,525.777,534.582,3762864900,536.533,524.479,962.545,977.62,8319376000,981.811,960.389,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,8900,9031,50220,9170,8880,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19815,19495,#N/A N/A,19815,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13294,13328,#N/A N/A,13328,13279,16670771.99,16733961.99,#N/A N/A,16750882,165764.1135,11.355,11.255,3435,11.55,11.05
6/30/2017,525.777,534.582,3762864900,536.533,524.479,962.545,977.62,8319376000,981.811,960.389,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9036,9347,36081,9280,9034,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19445,20200,#N/A N/A,20200,19330,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13294,13328,#N/A N/A,13328,13279,16735632,16555451.97,#N/A N/A,16752072,16462101.96,11.255,11.505,3515,11.785,11.1
7/7/2017,536.663,534.748,3688044400,545.916,533.76,981.882,977.122,8882949000,997.514,975.711,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9365,8879.75,35120,9370,8944,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20300,20050,#N/A N/A,20300,20025,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13300,13403,#N/A N/A,13413,13300,16556121.97,16273541.94,#N/A N/A,16572451.98,163353.5195,11.61,11.72,158,11.725,11.53
7/14/2017,534.748,535.426,2854671400,537.308,527.972,977.122,978.139,5368162400,981.908,964.606,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,8885,9529.5,35683,9380,8882.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19900,20000,#N/A N/A,20005,19900,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13400,13339,#N/A N/A,13413,13330,16272871.94,16350411.95,#N/A N/A,16410421.96,161825.113,11.79,11.415,89,11.79,11.35
7/21/2017,534.992,526.443,4522600100,536.632,525.908,977.944,962.858,8210209000,980.467,961.981,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9577.5,9469,74196,9720,9468.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20040,20325,#N/A N/A,20325,20040,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13308,13313,#N/A N/A,13338,13298,16384761.95,16727901.99,#N/A N/A,16737302,164007.9258,11.76,11.985,1066,12.06,11.635
7/28/2017,525.558,531.882,5352226200,535.286,525.094,961.511,974.129,8893895000,978.667,960.536,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,9559,10155.5,30712,10185,9554,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20445,20825,#N/A N/A,20855,20445,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13318,13327,#N/A N/A,13343,13307,16726561.99,16922602.02,#N/A N/A,16941442.02,166055.926,11.92,12.415,2068,12.45,11.92
8/4/2017,530.093,522.603,3975070300,533.562,521.537,971.351,959.452,7472385000,978.05,958.025,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10230,10209.5,31240,10335,10150,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,20865,#N/A N/A,20930,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13322,13316,#N/A N/A,13334,13315,16915932.02,16753042,#N/A N/A,16967552.02,168185.8169,12.39,12.33,2785,12.515,12.245
8/11/2017,523.04,520.128,4958909000,527.935,519.075,960.313,955.957,9969666000,971.14,954.14,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10309,10615.5,28844,10770,10276.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20760,20450,#N/A N/A,20760,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13321,13359,#N/A N/A,13380,13301,16749452,17205692.05,#N/A N/A,17257762.06,167604.2231,12.315,12.495,3110,12.53,11.975
8/18/2017,522.164,535.234,4297657200,537.857,521.958,959.632,982.39,7230087000,986.63,959.259,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,10505,10928.5,73037,10730,10355,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20525,20375,#N/A N/A,20525,20125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13350,13362,#N/A N/A,13383,13339,17205152.05,17157612.05,#N/A N/A,17387412.07,169983.2234,12.47,12.145,2559,12.485,12.02
8/25/2017,534.978,537.894,3617807200,538.49,530.613,982.283,987.877,8131270000,988.891,974.604,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,11199,11426,39886,11639,11199,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20575,20675,#N/A N/A,20675,20575,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13357,13346,#N/A N/A,13361,13334,17160282.05,17233052.05,#N/A N/A,17266562.06,171470.2236,12.225,12.395,3750,12.48,12.09
9/1/2017,536.215,532.223,6438483800,537.54,530.713,985.101,977.33,9607785000,987.402,974.553,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,11735,11972.75,23545,12004,11552.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20600,21000,#N/A N/A,21000,20540,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13338,13342,#N/A N/A,13354,13334,17234982.05,17666882.11,#N/A N/A,17694722.11,173001.3175,12.405,12.665,3863,12.56,12.14
